Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;price;gprstext;edge;batstandby1;battalktime1;cam2features;bodyother;models;featuresother;optionalother
https://www.gsmarena.com/allview_p10_style-9379.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p10-style.jpg;Allview P10 Style;Released 2018, October;140g, 8.8mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;1;N/A;35,017 hits;"5.34""";480x960 pixels;1 GB RAM;MT6739M;2300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, October;Available. Released 2018, October;145.8 x 70 x 8.8 mm (5.74 x 2.76 x 0.35 in);140 g (4.94 oz);Hybrid Dual SIM (Micro-SIM/Nano SIM);IPS LCD;5.34 inches, 73.6 cm(~72.1% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~201 ppi density);;Android 8.1 Oreo (Go edition);Mediatek MT6739M (28 nm);Quad-core 1.5 GHz Cortex-A53;PowerVR GE8100;microSDXC (uses shared SIM slot);8GB 1GB RAM;eMMC 5.1;8 MP, AF;LED flash;1080p@30fps;8 MP;;Wi-Fi 802.11 a/b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 2300 mAh, non-removable;Black, Gold;1.26 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x5_soul-9326.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5.jpg;Allview X5 Soul;Released 2018, August;185g, 7.9mm thickness;Android 8.1;32GB storage, microSDXC;5;N/A;59,050 hits;"5.86""";720x1520 pixels;4 GB RAM;Helio P22;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 38, 39, 40, 41;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;2018, August;Available. Released 2018, August;149 x 72 x 7.9 mm (5.87 x 2.83 x 0.31 in);185 g (6.53 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.86 inches, 85.7 cm(~79.9% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~287 ppi density);;Android 8.1 (Oreo);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);32GB 4GB RAM;eMMC 5.1;16 MP, f/2.0, PDAF5 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3000 mAh, non-removable;Black;0.89 W/kg (head);;;;;;;;X5_Soul;;
https://www.gsmarena.com/allview_soul_x5_pro-9252.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x5-soul-pro.jpg;Allview Soul X5 Pro;Released 2018, June;210g, 7.9mm thickness;Android 8.1;32GB storage, microSDXC;7;N/A;112,523 hits;"6.2""";1080x2246 pixels;4 GB RAM;Helio P60;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 20, 38, 39, 40;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;2018, June;Available. Released 2018, June;155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in);210 g (7.41 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;6.2 inches, 96.9 cm(~82.8% screen-to-body ratio);1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density);Corning Gorilla Glass 3;Android 8.1 (Oreo);Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (uses shared SIM slot);32GB 4GB RAM;eMMC 5.1;16 MP, f/2.0, PDAF5 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, GALILEO;No;FM radio;USB Type-C 2.0;Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3000 mAh, non-removable;Gold;1.02 W/kg (head);About 330 EUR;;;;;;;X5_Soul_Pro;;
https://www.gsmarena.com/allview_p8_pro-9070.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p8-pro.jpg;Allview P8 Pro;Released 2018, January;186.5g, 8mm thickness;Android 7.0;16GB storage, microSDXC;4;N/A;69,994 hits;"5.5""";1080x1920 pixels;2 GB RAM;MT6737;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, January;Available. Released 2018, January;153 x 75.2 x 8 mm (6.02 x 2.96 x 0.31 in);186.5 g (6.60 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~72.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;Android 7.0 (Nougat);Mediatek MT6737 (28 nm);Quad-core 1.45 GHz Cortex-A53;Mali-T720MP2;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.0;13 MP, AF;LED flash, HDR, panorama;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3000 mAh, non-removable;Gold;1.39 W/kg (head);;;;;;;;P8 PRO;;
https://www.gsmarena.com/allview_x4_soul_infinity_plus-9011.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4sip.jpg;Allview X4 Soul Infinity Plus;Released 2017, September;156g, 8mm thickness;Android 7.1;64GB storage, microSDXC;9;N/A;81,416 hits;"6.0""";1080x2160 pixels;4 GB RAM;Helio P25;3050 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 38;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, September;Available. Released 2017, September;158.7 x 75.2 x 8 mm (6.25 x 2.96 x 0.31 in);156 g (5.50 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.0 inches, 92.9 cm(~77.8% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~402 ppi density);Corning Gorilla Glass (unspecified version);Android 7.1 (Nougat);Mediatek MT6757 Helio P25 (16 nm);Octa-core (4x2.4 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53);Mali-T880MP2;microSDXC (uses shared SIM slot);64GB 6GB RAM;;"13 MP, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)";Dual-LED flash, panorama, HDR;4K@30fps, 1080p@30fps;13 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n;4.0, A2DP, EDR, LE;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3050 mAh, non-removable;Black;1.65 W/kg (head);About 450 EUR;;;;;LED flash;;;;
https://www.gsmarena.com/allview_x4_soul_infinity_l-9013.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4sil.jpg;Allview X4 Soul Infinity L;Released 2017, September;155g, 8.5mm thickness;Android 7.0;16GB storage, microSDXC;0;N/A;44,166 hits;"5.7""";720x1440 pixels;2 GB RAM;MT6737;3000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, September;Available. Released 2017, September;152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in);155 g (5.47 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~76.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Asahi Dragontrail Glass;Android 7.0 (Nougat);Mediatek MT6737 (28 nm);Quad-core 1.45 GHz Cortex-A53;Mali-T720MP2;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.0;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3000 mAh, non-removable;Night Sky, Mocha Gold;1.89 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x4_soul_infinity_n-9014.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4sin.jpg;Allview X4 Soul Infinity N;Released 2017, September;155g, 8.5mm thickness;Android 7.0;32GB storage, microSDXC;3;N/A;44,483 hits;"5.7""";720x1440 pixels;4 GB RAM;MT6750T;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, September;Available. Released 2017, September;152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in);155 g (5.47 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~76.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Asahi Dragontrail Glass;Android 7.0 (Nougat);Mediatek MT6750T (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);32GB 4GB RAM;eMMC 5.1;16 MP, PDAF;LED flash, panorama, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Li-Po 3000 mAh, non-removable;Night Sky, Mocha Gold, Steel Gray;1.28 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x4_soul_infinity_s-9015.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4sis.jpg;Allview X4 Soul Infinity S;Released 2017, September;155g, 8.5mm thickness;Android 7.0;16GB storage, microSDXC;1;N/A;43,756 hits;"5.7""";720x1440 pixels;3 GB RAM;MT6750T;3000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, September;Available. Released 2017, September;152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in);155 g (5.47 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~76.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Asahi Dragontrail Glass;Android 7.0 (Nougat);Mediatek MT6750T (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);16GB 3GB RAM;eMMC 5.1;13 MP, PDAF;LED flash, panorama, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3000 mAh, non-removable;Night Sky, Mocha Gold, Steel Gray;1.28 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x4_soul_infinity_z-9016.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4siz.jpg;Allview X4 Soul Infinity Z;Released 2017, September;155g, 8.5mm thickness;Android 7.0;32GB storage, microSDXC;1;N/A;44,283 hits;"5.7""";720x1440 pixels;4 GB RAM;MT6750T;3000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 8, 38;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, September;Available. Released 2017, September;152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in);155 g (5.47 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.7 inches, 83.8 cm(~76.0% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);;Android 7.0 (Nougat);Mediatek MT6750T (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);32GB 4GB RAM;eMMC 5.1;13 MP, PDAF5 MP, f/2.4, (depth);LED flash, panorama, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3000 mAh, non-removable;Night Sky, Mocha Gold, Steel Gray;1.28 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x4_soul_vision-9010.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4sv.jpg;Allview X4 Soul Vision;Released 2017, September;202g, 10.3mm thickness;Android 7.0;32GB storage, microSDXC;1;N/A;53,336 hits;"5.5""";1080x1920 pixels;3 GB RAM;MT6750;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, September;Available. Released 2017, September;153.1 x 75.6 x 10.3 mm (6.03 x 2.98 x 0.41 in);202 g (7.13 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~72.0% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;Android 7.0 (Nougat);Mediatek MT6750 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;"13 MP, 1/3.1"", 1.12µm, PDAF";LED flash, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 a/b/g/n;4.0, A2DP, EDR, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Dark Blue;0.76 W/kg (head);;;;;;;;;Laser projector;
https://www.gsmarena.com/allview_v3_viper-9009.php;https://fdn2.gsmarena.com/vv/bigpic/allview-v3v.jpg;Allview V3 Viper;Released 2018, February;143.6g, 8.1mm thickness;Android 8.0;32GB storage, microSDXC;3;N/A;57,959 hits;"5.5""";720x1440 pixels;3 GB RAM;MT6737;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 8, 20, 38, 39, 40;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2018, January;Available. Released 2018, February;148.3 x 71.8 x 8.1 mm (5.84 x 2.83 x 0.32 in);143.6 g (5.08 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.5 inches, 78.1 cm(~73.3% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);Corning Gorilla Glass 3;Android 8.0 (Oreo);Mediatek MT6737 (28 nm);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.0;13 MP, AF;LED flash, HDR;1080p@30fps;13 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 3000 mAh, non-removable;Black, Silver, Gold;1.26 W/kg (head);About 220 EUR;;;;;LED flash;;;;
https://www.gsmarena.com/allview_x4_soul_mini_s-8855.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4-soul-mini-s.jpg;Allview X4 Soul Mini S;Released 2017, June;145g, 8.4mm thickness;Android 7.0;16GB storage, microSDXC;0;N/A;48,558 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6737;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, June. Released 2017, June;Discontinued;142 x 72 x 8.4 mm (5.59 x 2.83 x 0.33 in);145 g (5.11 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~67.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Scratch-resistant glass;Android 7.0 (Nougat);Mediatek MT6737 (28 nm);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;microSDXC (uses shared SIM slot);16GB 1GB RAM;eMMC 5.0;8 MP, AF;LED flash, HDR;720p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 2500 mAh, non-removable;Black, Gold, Blue;1.48 W/kg (head);About 150 EUR;;;Up to 312 h (3G);Up to 15 h (3G);;;X4_Soul_Mini_S_TM;;
https://www.gsmarena.com/allview_x4_xtreme-8743.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4-xtreme.jpg;Allview X4 Xtreme;Released 2017, June;226.9g, 9.1mm thickness;Android 7.0;64GB storage, microSDXC;9;N/A;66,097 hits;"6.0""";1080x1920 pixels;4 GB RAM;Helio P25;4550 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE (unspecified);HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, June. Released 2017, June;Discontinued;166.4 x 83.3 x 9.1 mm (6.55 x 3.28 x 0.36 in);226.9 g (8.01 oz);Hybrid Dual SIM (Micro-SIM/Nano SIM);IPS LCD;6.0 inches, 99.2 cm(~71.6% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~367 ppi density);Corning Gorilla Glass 3;Android 7.0 (Nougat);Mediatek MT6757T Helio P25 (16 nm);Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53);Mali-T880MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;;13 MP, PDAF5 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;20 MP, f/2.0, (wide);;Wi-Fi 802.11 a/b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Po 4550 mAh, non-removable;Mocha Gold;1.01 W/kg (head);;;;Up to 379 h;Up to 25 h;;;;;
https://www.gsmarena.com/allview_p9_energy_lite_(2017)-8742.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p9-energy-lite-2017.jpg;Allview P9 Energy Lite (2017);Released 2017, June;161g, 9.1mm thickness;Android 7.0;32GB storage, microSDXC;1;N/A;78,838 hits;"5.2""";720x1280 pixels;3 GB RAM;MT6753;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, June. Released 2017, June;Discontinued;148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in);161 g (5.68 oz);Hybrid Dual SIM (Micro-SIM/Nano SIM);IPS LCD;5.2 inches, 74.5 cm(~69.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);;Android 7.0 (Nougat);Mediatek MT6753 (28 nm);Octa-core 1.3 GHz Cortex-A53;Mali-T720;microSDXC (uses shared SIM slot);32GB 3GB RAM;;13 MP, AF;LED flash, HDR, panorama;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Fingerprint (front-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, Gold;0.72 W/kg (head);;;;Up to 286 h;Up to 16 h;;;;;
https://www.gsmarena.com/allview_x4_soul_lite-8741.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4-soul-lite.jpg;Allview X4 Soul Lite;Released 2017, June;150.4g, 7.8mm thickness;Android 7.0;16GB/32GB storage, microSDXC;1;N/A;51,194 hits;"5.5""";1080x1920 pixels;3/4 GB RAM;MT6750;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 38;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, June. Released 2017, June;Discontinued;155.4 x 75.9 x 7.8 mm (6.12 x 2.99 x 0.31 in);150.4 g (5.29 oz);Hybrid Dual SIM (Micro-SIM/Nano SIM);IPS LCD;5.5 inches, 83.4 cm(~70.7% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);;Android 7.0 (Nougat);Mediatek MT6750 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);16GB 3GB RAM, 32GB 4GB RAM;eMMC 5.1;"13 MP, 1/3.1"", 1.12µm, PDAF2 MP, (depth)";LED flash, panorama, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 a/b/g/n;4.0, A2DP, EDR, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (front-mounted), accelerometer, proximity, compass;Li-Po 3000 mAh, non-removable;Black, Gold;;;;;Up to 500 h (3G);Up to 23 h (3G);;;;;
https://www.gsmarena.com/allview_x4_soul_mini-8706.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4-soul-mini.jpg;Allview X4 Soul Mini;Released 2017, March;144g, 7.7mm thickness;Android 7.0;16GB storage, microSDXC;1;N/A;68,677 hits;"5.0""";720x1280 pixels;2/3 GB RAM;MT6737;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, April. Released 2017, March;Discontinued;143.5 x 73.9 x 7.7 mm (5.65 x 2.91 x 0.30 in);144 g (5.08 oz);Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~65.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Asahi Dragontrail Glass;Android 7.0 (Nougat);Mediatek MT6737 (28 nm);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;microSDXC (uses shared SIM slot);16GB 2GB RAM, 16GB 3GB RAM;eMMC 5.0;"13 MP, 1/3.1"", 1.12µm, PDAF";LED flash, panorama, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 2500 mAh, non-removable;Black, Gold;0.61 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_x4_soul_style-8623.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x4-soul-style.jpg;Allview X4 Soul Style;Released 2017, March;181g, 8.3mm thickness;Android 7.0;64GB storage, microSDXC;2;N/A;60,035 hits;"5.5""";1080x1920 pixels;4 GB RAM;Helio P10;4010 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20, 38, 39, 40, 41;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, March. Released 2017, March;Discontinued;156.5 x 74.5 x 8.3 mm (6.16 x 2.93 x 0.33 in);181 g (6.38 oz);Hybrid Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by);IPS LCD;5.5 inches, 83.4 cm(~71.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~401 ppi density);Corning Gorilla Glass (unspecified version);Android 7.0 (Nougat);Mediatek MT6755 Helio P10 (28 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53);Mali-T860MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;"13 MP, 1/3.1"", 1.12µm, PDAF";LED flash, panorama, HDR;1080p@30fps;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;Wi-Fi 802.11 a/b/g/n;4.0, A2DP, EDR, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass;Li-Po 4010 mAh, non-removable;Black, Gold;1.65 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_p6_energy_mini-8622.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p6-energy-mini.jpg;Allview P6 Energy Mini;Released 2017, March;175g, 10.3mm thickness;Android 6.0;8GB storage, microSDXC;0;N/A;46,279 hits;"5.0""";480x854 pixels;1 GB RAM;MT6737;2950 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, March. Released 2017, March;Discontinued;143 x 72.4 x 10.3 mm (5.63 x 2.85 x 0.41 in);175 g (6.17 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.5% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);;Android 6.0 (Marshmallow);Mediatek MT6737 (28 nm);Quad-core 1.1 GHz Cortex-A53;Mali-T720;microSDXC;8GB 1GB RAM;eMMC 5.0;5 MP;LED flash, HDR;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2950 mAh battery;Gray, Gold;1.18 W/kg (head);;;;;;;;;;
